Date,Open,High,Low,Close,Volume,Adj_Close
2014-05-02,188.3099976,189.1399994,187.7799988,188.0599976,98122000,154.730957
2014-05-05,187.1399994,188.5500031,186.6199951,188.4199982,75883000,155.0271301
2014-05-06,188,188.1300049,186.7400055,186.7799988,85454000,153.6778107
2014-05-07,187.4100037,187.9700012,186.0099945,187.8800049,106500000,154.5828552
2014-05-08,187.7100067,189.0500031,187.0800018,187.6799927,93618000,154.4182739
2014-05-09,187.7100067,188.0399933,186.8300018,187.9600067,83679000,154.6486816
2014-05-12,188.8000031,189.8800049,188,189.7899933,86940000,156.1543579
2014-05-13,190.0399933,190.4199982,189.7700043,189.9600067,66454000,156.2941895
2014-05-14,189.7899933,189.8800049,188.7899933,189.0599976,72367000,155.5537262
2014-05-15,188.6799927,188.7200012,186.4799957,187.3999939,154956000,154.187851
2014-05-16,187.5099945,188.1300049,186.7200012,188.0500031,97458000,154.7227173
2014-05-19,187.6900024,188.8899994,187.5200043,188.7400055,63839000,155.2904663
2014-05-20,188.6499939,188.6699982,187.0700073,187.5500031,111644000,154.3113708
2014-05-21,188.0899963,189.2200012,188.0599976,189.1300049,89093000,155.6112976
2014-05-22,189.1799927,189.9799957,188.8600006,189.5899963,61549000,155.9897614
2014-05-23,189.7599945,190.4799957,189.5899963,190.3500061,61092800,156.6150818
2014-05-27,191.0599976,191.5800018,190.9499969,191.5200043,72010000,157.577774
2014-05-28,191.5200043,191.8200073,191.0599976,191.3800049,66723000,157.4625549
2014-05-29,191.8200073,192.3999939,191.3300018,192.3699951,64377000,158.2771149
2014-05-30,192.1900024,192.8000031,192.0299988,192.6799927,76316000,158.532135
2014-06-02,192.9499969,192.9900055,191.9700012,192.8999939,64656000,158.7131653
2014-06-03,192.4299927,192.8999939,192.25,192.8000031,65047000,158.6308899
2014-06-04,192.4700012,193.3000031,192.2700043,193.1900024,55529000,158.9517975
2014-06-05,193.4100037,194.6499939,192.6999969,194.4499969,92103000,159.9884644
2014-06-06,194.8699951,195.4299927,194.7799988,195.3800049,78696000,160.7536469
2014-06-09,195.3500061,196.0500031,195.1699982,195.5800018,65119000,160.9182587
2014-06-10,195.3399963,195.6399994,194.9199982,195.6000061,57129000,160.9346619
2014-06-11,194.8999939,195.1199951,194.4799957,194.9199982,68772000,160.3751678
2014-06-12,194.6900024,194.8000031,193.1100006,193.5399933,106350000,159.2397461
2014-06-13,193.9199982,194.3200073,193.3000031,194.1300049,82017000,159.725174
2014-06-16,193.8899994,194.6999969,193.6600037,194.2899933,87424000,159.856781
2014-06-17,194.0200043,194.9700012,193.8099976,194.8300018,84834000,160.3011627
2014-06-18,194.8300018,196.3699951,194.3999939,196.2599945,105267000,161.4777222
2014-06-19,196.4299927,196.6000061,195.8000031,196.4799957,85929000,161.6586609
2014-06-20,196.0299988,196.1000061,195.6999969,195.9400024,100587000,161.986908
2014-06-23,195.9900055,196.0500031,195.5200043,195.8800049,70611000,161.9373169
2014-06-24,195.5299988,196.5,194.4799957,194.6999969,96237000,160.961731
